loop_index,completed_steps,physical_time,stage,route,quantity_id,dominant_direction,real_rms,imaginary_rms,imaginary_ratio,real_max_abs,imaginary_max_abs,ratio_denominator,denominator_uses_floor,threshold,threshold_pass,is_historical_failure,raw_to_rc_real_difference_rms,raw_to_rc_real_difference_max_abs,raw_to_rc_real_difference_relative,raw_to_rc_real_cosine_similarity,relevant_nyquist_power_fraction,raw_hermitian_residual,rc_hermitian_residual,state_sha256
3058,3059,15.295,2,raw,omega_gradient_imaginary_ratio,x,0.177053638953204,1.7626041453877306e-14,9.955198638157299e-14,0.5019919305127535,6.165353443971511e-14,0.177053638953204,False,1e-13,True,False,2.9825080413673655e-17,1.6653345369377348e-16,1.8200399052294797e-16,1.0000000000000002,6.123713263102601e-29,1.9909968956603224e-13,1.1177052722635226e-15,00EAF83B4996A5F615ACA86F20FF9DCE6322F52A8366221277A161DA92480D29
3058,3059,15.295,2,real_compatible,omega_gradient_imaginary_ratio,y,0.177053638953204,1.4374323195994344e-16,8.118626242860524e-16,0.5019919305127535,5.365009425484067e-16,0.177053638953204,False,1e-13,True,False,2.9825080413673655e-17,1.6653345369377348e-16,1.8200399052294797e-16,1.0000000000000002,6.123713263102601e-29,1.9909968956603224e-13,1.1177052722635226e-15,00EAF83B4996A5F615ACA86F20FF9DCE6322F52A8366221277A161DA92480D29
3058,3059,15.295,2,raw,projected_baseline_transport_imaginary_ratio,projection,0.001119147141861988,1.713036086652445e-19,1.5306620752320117e-16,0.004698999515777081,8.238733868812999e-19,0.001119147141861988,False,1e-13,True,False,0.0,0.0,0.0,1.0,3.721034141617392e-21,1.0950938508825632e-09,1.2108234213330586e-15,00EAF83B4996A5F615ACA86F20FF9DCE6322F52A8366221277A161DA92480D29
3058,3059,15.295,2,real_compatible,projected_baseline_transport_imaginary_ratio,projection,0.001119147141861988,1.713036086652445e-19,1.5306620752320117e-16,0.004698999515777081,8.238733868812999e-19,0.001119147141861988,False,1e-13,True,False,0.0,0.0,0.0,1.0,3.721034141617392e-21,1.0950938508825632e-09,1.2108234213330586e-15,00EAF83B4996A5F615ACA86F20FF9DCE6322F52A8366221277A161DA92480D29
3058,3059,15.295,2,raw,projected_pseudo_transport_imaginary_ratio,projection,0.0011596237221583418,1.8213891798926006e-19,1.570672576879121e-16,0.004845107925987385,7.192994430517132e-19,0.0011596237221583418,False,1e-13,True,False,4.387102996016685e-19,2.6020852139652106e-18,3.783212530225942e-16,1.0,7.257308101043346e-22,4.823023339539946e-10,1.105841882958817e-15,00EAF83B4996A5F615ACA86F20FF9DCE6322F52A8366221277A161DA92480D29
3058,3059,15.295,2,real_compatible,projected_pseudo_transport_imaginary_ratio,projection,0.0011596237221583416,1.927293951652389e-19,1.6619994182813255e-16,0.004845107925987387,7.754095441937872e-19,0.0011596237221583416,False,1e-13,True,False,4.387102996016685e-19,2.6020852139652106e-18,3.783212530225942e-16,1.0,7.257308101043346e-22,4.823023339539946e-10,1.105841882958817e-15,00EAF83B4996A5F615ACA86F20FF9DCE6322F52A8366221277A161DA92480D29
3058,3059,15.295,2,raw,u_x_gradient_imaginary_ratio,x,0.03389501282922475,1.3061012217227905e-16,3.853372849579369e-15,0.09272124549132653,4.973661367186764e-16,0.03389501282922475,False,1e-13,True,False,4.163247674531651e-18,2.7755575615628914e-17,1.3118213172102064e-16,1.0,7.861125432109323e-32,8.871188445552724e-15,1.3559392212226356e-15,00EAF83B4996A5F615ACA86F20FF9DCE6322F52A8366221277A161DA92480D29
3058,3059,15.295,2,real_compatible,u_x_gradient_imaginary_ratio,y_auxiliary,0.03389501282922475,3.224561592763095e-17,9.513380652810474e-16,0.09272124549132653,1.1748183627706602e-16,0.03389501282922475,False,1e-13,True,False,4.163247674531651e-18,2.7755575615628914e-17,1.3118213172102064e-16,1.0,7.861125432109323e-32,8.871188445552724e-15,1.3559392212226356e-15,00EAF83B4996A5F615ACA86F20FF9DCE6322F52A8366221277A161DA92480D29
3058,3059,15.295,2,raw,v_y_gradient_imaginary_ratio,y,0.045542835491189204,1.1547543761336628e-16,2.5355346536494496e-15,0.13824973545497535,4.449828634655541e-16,0.045542835491189204,False,1e-13,True,False,6.438897882574682e-18,3.469446951953614e-17,1.6794878181850653e-16,0.9999999999999999,3.973460695029096e-32,7.844214252404692e-15,2.1344142034245138e-15,00EAF83B4996A5F615ACA86F20FF9DCE6322F52A8366221277A161DA92480D29
3058,3059,15.295,2,real_compatible,v_y_gradient_imaginary_ratio,y,0.045542835491189204,3.171811855098924e-17,6.964458450797488e-16,0.13824973545497535,1.4331736299142865e-16,0.045542835491189204,False,1e-13,True,False,6.438897882574682e-18,3.469446951953614e-17,1.6794878181850653e-16,0.9999999999999999,3.973460695029096e-32,7.844214252404692e-15,2.1344142034245138e-15,00EAF83B4996A5F615ACA86F20FF9DCE6322F52A8366221277A161DA92480D29
3059,3060,15.3,1,raw,omega_gradient_imaginary_ratio,y,0.17705363711238,1.734858180677933e-16,9.798489367246258e-16,0.5019919205900906,7.009949114029573e-16,0.17705363711238,False,1e-13,True,False,2.557180745628355e-17,1.1102230246251565e-16,1.5604890209939717e-16,1.0,4.229510294332985e-34,2.308500546957609e-15,2.2430587847274884e-15,7534D7C24F2666993BBD5B7B79E03B82B8F7F15665B41C30453351A18196E852
