loop_index,completed_steps,physical_time,energy,enstrophy,forcing_rms,energy_injection_rate,enstrophy_injection_rate,viscous_energy_dissipation_rate,viscous_enstrophy_dissipation_rate,continuous_energy_rhs,continuous_enstrophy_rhs,interval_duration,observed_energy_rate,mean_continuous_energy_rhs,energy_budget_residual,mean_energy_injection_rate,mean_viscous_energy_dissipation_rate,normalized_energy_budget_residual,observed_enstrophy_rate,mean_continuous_enstrophy_rhs,enstrophy_budget_residual,mean_enstrophy_injection_rate,mean_viscous_enstrophy_dissipation_rate,normalized_enstrophy_budget_residual,forcing_sha256,all_numeric_values_finite
9550,9551,47.755,0.0017839650088894545,0.016240775615662752,0.005,8.686225638535785e-05,0.0008000697168489241,3.248155123132551e-05,0.0003566905719437474,5.438070515403234e-05,0.0004433791449051767,0.05000000000000426,5.461365805411545e-05,5.4382044883612745e-05,2.3161317050270617e-07,8.684088260598785e-05,3.2458837722375105e-05,0.002667098301540477,0.00045427017900795684,0.00044347292232080283,1.0797256687154007e-05,0.0007999135229070592,0.0003564406005862564,0.013498029946930307,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
9560,9561,47.805,0.001786695513760192,0.01626348072496182,0.005,8.690485899081506e-05,0.0008003808024039923,3.252696144992364e-05,0.0003571903796433383,5.437789754089142e-05,0.00044319042276065395,0.04999999999999716,5.4610097414753056e-05,5.437930134746188e-05,2.3079606729117753e-07,8.688355768808645e-05,3.2504256340624575e-05,0.0026563837097893666,0.000454102185981379,0.0004432847838329153,1.0817402148463715e-05,0.0008002252596264582,0.00035694047579354284,0.013517946376140679,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
9570,9571,47.855000000000004,0.0017894258337437328,0.01628617737506439,0.005,8.694731626272996e-05,0.0008006905831520969,3.257235475012878e-05,0.0003576900521541616,5.437496151260118e-05,0.00044300053099793527,0.05000000000000426,5.460639967081133e-05,5.43764295267463e-05,2.299701440650314e-07,8.692608762677251e-05,3.254965810002621e-05,0.0026455825902626097,0.00045393300205139335,0.00044309547687929464,1.0837525172098712e-05,0.0008005356927780446,0.00035744021589874993,0.013537841310348056,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
9580,9581,47.905,0.0017921559619731146,0.016308865506321234,0.005,8.698962781791865e-05,0.0008009990565869831,3.261773101264247e-05,0.0003581895893037509,5.4371896805276184e-05,0.0004428094672832322,0.04999999999999716,5.4602564587639244e-05,5.437342915893868e-05,2.2913542870056256e-07,8.696847204032431e-05,3.2595042881385626e-05,0.002634695347922409,0.0004537626251368673,0.00044290499914058373,1.0857625996283586e-05,0.00080084481986954,0.00035793982072895625,0.01355771521135933,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
9590,9591,47.955,0.0017948858915695582,0.01633154505897788,0.005,8.703179327025919e-05,0.0008013062201743153,3.2663090117955764e-05,0.0003586889909205295,5.4368703152303424e-05,0.0004426172292537858,0.04999999999999716,5.459859192887479e-05,5.4370299978789804e-05,2.282919500849894e-07,8.701071054408892e-05,3.264041056529912e-05,0.002623722397592792,0.0004535910531329715,0.000442713348268509,1.087770486446249e-05,0.0008011526383806492,0.0003584392901121402,0.013577568547298724,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
9600,9601,48.005,0.001797615615642386,0.016354215973173585,0.005,8.707381223067786e-05,0.0008016120713515485,3.270843194634717e-05,0.0003591882568337945,5.436538028433068e-05,0.00044242381451775403,0.05000000000000426,5.459448145655295e-05,5.436704171831705e-05,2.2743973823589918e-07,8.705280275046852e-05,3.268576103215147e-05,0.0026126641653094287,0.00045341828391404513,0.0004425205218857699,1.0897762028275226e-05,0.0008014591457629319,0.000358938623877162,0.01359740179632155,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
9610,9611,48.055,0.001800345127288937,0.016376878188940135,0.005,8.711568430713569e-05,0.0008019166075278019,3.2753756377880274e-05,0.00035968738687370004,5.436192792925542e-05,0.00044222922065410185,0.04999999999999716,5.4590232931023256e-05,5.436365410679305e-05,2.265788242302057e-07,8.709474826890677e-05,3.273109416211372e-05,0.002601521087478651,0.0004532443153310286,0.00044232651758592794,1.0917797745100654e-05,0.0008017643394396752,0.00035943782185374727,0.01361721544354382,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
9620,9621,48.105000000000004,0.0018030744195944896,0.016399531646200796,0.005,8.715740910461488e-05,0.000802219826083734,3.2799063292401595e-05,0.0003601863808712461,5.435834581221329e-05,0.00044203344521248796,0.05000000000000426,5.4585846111045715e-05,5.436013687073435e-05,2.2570924031136325e-07,8.713654670587529e-05,3.2776409835140935e-05,0.002590293612084865,0.0004530691452131782,0.0004421313329332949,1.093781227988331e-05,0.000802068216805768,0.0003599368838724731,0.013637009983319228,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
9630,9631,48.155,0.0018058034856321729,0.016422176284769142,0.005,8.719898622510541e-05,0.0008025217243714183,3.284435256953829e-05,0.000360685238658266,5.435463365556712e-05,0.00044183648571315224,0.04999999999999716,5.4581320753668646e-05,5.4356489733890207e-05,2.248310197784393e-07,8.717819766486014e-05,3.282170793096994e-05,0.0025789821973925065,0.0004528927713669508,0.0004419349654628201,1.0957805904130726e-05,0.0008023707752275761,0.00036043580976475605,0.013656785917985071,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
9640,9641,48.205,0.0018085323184628883,0.01644481204434798,0.005,8.724041526759162e-05,0.0008028222997142191,3.288962408869596e-05,0.0003611839600674192,5.435079117889566e-05,0.0004416383396467999,0.04999999999999716,5.457665661431179e-05,5.435271241723139e-05,2.2394419708039932e-07,8.721970074634851e-05,3.286698832911712e-05,0.0025675873130047953,0.00045271519157677264,0.00044173741267997606,1.0977778896796575e-05,0.0008026720120428187,0.0003609345993628426,0.01367654375896062,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
9650,9651,48.255,0.0018112609111352227,0.01646743886452818,0.005,8.72816958280389e-05,0.0008031215494066701,3.293487772905636e-05,0.0003616825449321837,5.434681809898254e-05,0.0004414390044744864,0.05000000000000426,5.457185344668345e-05,5.43488046389391e-05,2.23048807744353e-07,8.726105554781525e-05,3.291225090887616e-05,0.0025561094390169504,0.00045253640360394835,0.00044153867206064314,1.0997731543305211e-05,0.0008029719245604446,0.00036143325249980143,0.013696284025528646,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
9660,9661,48.305,0.001813989256685371,0.016490056684787594,0.005,8.732282749938067e-05,0.0008034194707143543,3.298011336957519e-05,0.0003621809930868526,5.434271412980548e-05,0.0004412384776275017,0.04999999999999716,5.4566911002971294e-05,5.4344766114394004e-05,2.2214488857729038e-07,8.730226166370978e-05,3.295749554931578e-05,0.0025445490683047517,0.00045235640518832625,0.00044133874105099406,1.1017664137332199e-05,0.0008032705100605122,0.00036193176900951813,0.013716007247050827,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
9670,9671,48.355000000000004,0.0018167173481370461,0.016512665444489878,0.005,8.736380987150493e-05,0.0008037160608737827,3.302533088897976e-05,0.0003626793043665316,5.4338478982525166e-05,0.0004410367565072511,0.05000000000000426,5.4561829033495893e-05,5.434059655616532e-05,2.2123247733057543e-07,8.734331868544279e-05,3.300272212927747e-05,0.002532906702655981,0.00045217519404564286,0.00044113761706737645,1.1037576978266417e-05,0.0008035677657940685,0.00036243014872669205,0.013735713959804396,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
9680,9681,48.405,0.0018194451785014014,0.016535265082883416,0.005,8.740464253124152e-05,0.0008040113170922769,3.307053016576683e-05,0.00036317747860713934,5.4334112365474684e-05,0.00044083383848513756,0.04999999999999716,5.4556607287109e-05,5.433629567399992e-05,2.2031161310907658e-07,8.738422620137323e-05,3.304793052737329e-05,0.002521182857434451,0.0004519927678707771,0.00044093529749619434,1.1057470374582735e-05,0.0008038636889830298,0.00036292839148683545,0.013755404711178795,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
9690,9691,48.455,0.0018221727407769423,0.016557855539100132,0.005,8.744532506234886e-05,0.0008043052365478516,3.3115711078200266e-05,0.00036367551564540945,5.43296139841486e-05,0.0004406297209024421,0.04999999999999716,5.455124551082128e-05,5.433186317481164e-05,2.193823360096395e-07,8.742498379679519e-05,3.309312062198355e-05,0.002509378057416141,0.00045180912433435765,0.00044073177969378987,1.1077344640567782e-05,0.0008041582768200642,0.0003634264971262744,0.013775080055597577,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
9700,9701,48.505,0.001824900027949447,0.016580436752154405,0.005,8.748585704550129e-05,0.0008045978163890985,3.316087350430881e-05,0.00036417341531889556,5.4324983541192483e-05,0.0004404244010702029,0.05000000000000426,5.45457434500881e-05,5.432729876267054e-05,2.1844468741756215e-07,8.746559105392507e-05,3.3138292291254534e-05,0.0024974928401602483,0.000451624261085418,0.0004405270609863225,1.1097200099095502e-05,0.000804451526468475,0.0003639244654821525,0.01379474055796994,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
9710,9711,48.555,0.001827627032991878,0.01660300866094187,0.005,8.75262380582761e-05,0.0008048890537350711,3.320601732188374e-05,0.00036467117746597747,5.4320220736392355e-05,0.00044021787626909365,0.04999999999999716,5.454010084862298e-05,5.432260213879242e-05,2.1749870983056103e-07,8.75060475518887e-05,3.3183445413096276e-05,0.002485527753971407,0.0004514381757493142,0.0004403211386696483,1.1117037079665939e-05,0.0008047434350620848,0.0003644222963924365,0.01381438679124891,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
9720,9721,48.605000000000004,0.0018303537488643003,0.016625571204238323,0.005,8.756646767514085e-05,0.0008051789456751721,3.3251142408476644e-05,0.00036516880192587073,5.431532526666421e-05,0.00044001014374930137,0.05000000000000426,5.453431744844153e-05,5.431777300152828e-05,2.1654444691325233e-07,8.754635286670847e-05,3.322857986518019e-05,0.0024734833585009154,0.00045125086592902634,0.0004401140100091975,1.1136855919828851e-05,0.0008050339997051216,0.00036491998969592407,0.013834019338199636,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
9730,9731,48.655,0.0018330801685137986,0.016648124320698565,0.005,8.760654546744083e-05,0.0008054674892690407,3.329624864139713e-05,0.00036566628853863743,5.43102968260437e-05,0.00043980120073040325,0.04999999999999716,5.4528392989969055e-05,5.4312811046353956e-05,2.1558194361509959e-07,8.758650657129084e-05,3.3273695524936884e-05,0.002461360226071206,0.00045106232920487165,0.0004399056722398523,1.1156656965019345e-05,0.0008053232174721064,0.0003654175452322541,0.013853638791192273,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
9740,9741,48.705,0.001835806284874389,0.016670667948855245,0.005,8.764647100338635e-05,0.0008057546815464412,3.334133589771049e-05,0.00036616363714520007,5.430513510567586e-05,0.0004395910444012412,0.04999999999999716,5.452232721181152e-05,5.430771596585978e-05,2.1461124595173686e-07,8.76265082354136e-05,3.331879226955381e-05,0.0024491589391553927,0.000450872563133612,0.00043969612256582224,1.1176440567789772e-05,0.0008056110854077409,0.0003659149628419188,0.01387324575124619,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
9750,9751,48.755,0.00183853209086694,0.016693202027117725,0.005,8.76862438480405e-05,0.0008060405195071552,3.338640405423545e-05,0.00036666084758735717,5.429983979380505e-05,0.00043937967191979806,0.05000000000000426,5.45161198510152e-05,5.430248744974045e-05,2.1363240127474537e-07,8.766635742571343e-05,3.3363869975972974e-05,0.002436880093435761,0.0004506815652495809,0.0004394853581605196,1.1196207089061278e-05,0.0008058976005267983,0.0003664122423662786,0.013892840829582509,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
9760,9761,48.805,0.0018412575793990815,0.01671572649377091,0.005,8.772586356330659e-05,0.0008063250001208711,3.343145298754182e-05,0.00036715791970780087,5.429441057576477e-05,0.0004391670804130702,0.04999999999999716,5.450977064283249e-05,5.4297125184784914e-05,2.1264545804757596e-07,8.770605370567354e-05,3.340892852088864e-05,0.0024245242952234246,0.0004504893330637117,0.00043927337616643416,1.1215956897277527e-05,0.0008061827598140132,0.000366909383647579,0.013912424646571523,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
9770,9771,48.855000000000004,0.0018439827433651256,0.0167382412869741,0.005,8.776532970791604e-05,0.0008066081203270791,3.3476482573948205e-05,0.0003676548533501376,5.428884713396783e-05,0.00043895326697694154,0.05000000000000426,5.450327932087863e-05,5.4291628854866305e-05,2.1165046601232657e-07,8.774559663561131e-05,3.345396778074501e-05,0.002412092163339725,0.0004502958640637993,0.0004390601736950059,1.1235690368793447e-05,0.0008064665602239751,0.00036740638652896923,0.013931997832213931,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
9780,9781,48.905,0.001846707575645975,0.016760746344759818,0.005,8.780464183741609e-05,0.0008068898770349646,3.3521492689519634e-05,0.0003681516483589098,5.4283149147896455e-05,0.0004387382286760548,0.04999999999999716,5.449664561699202e-05,5.428599814093214e-05,2.1064747605987506e-07,8.778498577266606e-05,3.349898763173392e-05,0.0023995843276136313,0.00045010115571435033,0.0004388457478264982,1.1255407887852129e-05,0.0008067489986810219,0.0003679032508545237,0.013951561026110887,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
9790,9791,48.955,0.0018494320691090482,0.016783241605032688,0.005,8.784379950415794e-05,0.0008071702671233055,3.3566483210065375e-05,0.00036864830457962195,5.427731629409256e-05,0.0004385219625436836,0.04999999999999716,5.4489869261464966e-05,5.428023272099451e-05,2.09636540470457e-07,8.782422067078701e-05,3.3543987949792505e-05,0.002387001431601527,0.0004499052054574271,0.00043863009560986916,1.127510984755796e-05,0.000807030072079135,0.00036839997646926585,0.013971114878668802,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
9800,9801,49.005,0.0018521562166081804,0.016805727005568205,0.005,8.788280225728451e-05,0.0008074492874403682,3.361145401113641e-05,0.00036914482185876563,5.42713482461481e-05,0.00043830446558160255,0.05000000000000426,5.448294998263978e-05,5.427433227012033e-05,2.086177125194496e-07,8.786330088072123e-05,3.35889686106009e-05,0.0023743441280752527,0.00044970801071030406,0.00043841321406264306,1.1294796647660997e-05,0.0008073097772818369,0.0003688965632191938,0.013990660048352062,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
9810,9811,49.055,0.0018548800109835512,0.016828202484011637,0.005,8.792164964271892e-05,0.0008077269348038074,3.365640496802327e-05,0.0003696412000438504,5.426524467469565e-05,0.00043808573475995704,0.04999999999999716,5.447588750742049e-05,5.4268296460421875e-05,2.075910469986157e-07,8.790222595000171e-05,3.363392948957984e-05,0.0023616130849370334,0.000449509568868659,0.0004381951001707798,1.131446869787918e-05,0.0008075881111220878,0.000369393010951308,0.014010197205799017,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
9820,9821,49.105000000000004,0.0018576034450615902,0.016850667977876786,0.005,8.796034120315239e-05,0.0008080032060005661,3.3701335955753574e-05,0.0003701374389834341,5.425900524739882e-05,0.00043786576701713195,0.05000000000000426,5.446868156077475e-05,5.426212496104724e-05,2.0655659972751455e-07,8.794099542293565e-05,3.3678870461888426e-05,0.0023488089796359422,0.0004493098773029508,0.0004379757508885445,1.1334126414406284e-05,0.0008078650704021867,0.00036988931951364225,0.014029727029494806,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
9830,9831,49.155,0.0018603265116548958,0.016873123424544872,0.005,8.799887647803294e-05,0.0008082780977867775,3.3746246849089745e-05,0.00037063353852715705,5.4252629628943196e-05,0.0004376445592596205,0.04999999999999716,5.446133186611452e-05,5.425581743817101e-05,2.055144279435099e-07,8.797960884059267e-05,3.372379140242166e-05,0.0023359325035858555,0.0004491089333617365,0.00043775516313837625,1.1353770223360268e-05,0.0008081406518936718,0.00037038548875529555,0.01404925021004153,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
9840,9841,49.205,0.0018630492035621462,0.01689556876126332,0.005,8.803725500355362e-05,0.0008085516068876684,3.379113752252664e-05,0.0003711294985257776,5.424611748102698e-05,0.0004374221083618908,0.04999999999999716,5.44538381450108e-05,5.424937355498508e-05,2.0446459002571845e-07,8.801806574079327e-05,3.376869218580819e-05,0.002322984359004794,0.000448906734368979,0.00043753333381075566,1.1373400558223324e-05,0.000808414852337223,0.0003708815185264673,0.014068767446987741,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
9850,9851,49.255,0.0018657715135680178,0.016918003925144587,0.005,8.807547631264124e-05,0.0008088237299974638,3.383600785028918e-05,0.0003716253188312108,5.423946846235206e-05,0.00043719841116625303,0.05000000000000426,5.4446200117427194e-05,5.424279297168952e-05,2.0340714573767465e-07,8.805636565809743e-05,3.381357268640791e-05,0.002309965261653629,0.00044870327762530973,0.0004373102597640719,1.139301786123783e-05,0.000808687668442566,0.0003713774086784942,0.014088279450556473,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
9860,9861,49.305,0.0018684934344430932,0.016940428853164987,0.005,8.811353993494494e-05,0.0008090944637792936,3.388085770632997e-05,0.00037212099929656773,5.423268222861497e-05,0.0004369734644827259,0.04999999999999716,5.443841750151169e-05,5.4236075345483515e-05,2.0234215602817632e-07,8.809450812379308e-05,3.3858432778309575e-05,0.002296875938552707,0.00044849856040802877,0.00043708593782448943,1.1412622583539334e-05,0.0008089590968883788,0.0003718731590638892,0.01410778694180883,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
9870,9871,49.355000000000004,0.0018712149589437794,0.01696284348216347,0.005,8.815144539682508e-05,0.0008093638048650997,3.392568696432694e-05,0.00037261653977619925,5.4225758432498144e-05,0.00043674726508890045,0.05000000000000426,5.443049001371881e-05,5.422922033055656e-05,2.012696831622495e-07,8.813249266588502e-05,3.390327233532846e-05,0.0022837171294504697,0.0004482925799696342,0.00043686036478581317,1.1432215183821033e-05,0.0008092291343221967,0.0003723687695363835,0.014127290650992884,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
9880,9881,49.405,0.0018739360798122186,0.016985247748840474,0.005,8.818919222134224e-05,0.0008096317498555465,3.3970495497680946e-05,0.00037311194012573987,5.4218696723661296e-05,0.0004365198097298066,0.04999999999999716,5.442241736878688e-05,5.422222757807972e-05,2.0018979070715544e-07,8.817031880908367e-05,3.394809123100395e-05,0.00227048958664456,0.0004480853335400969,0.00043663353740935353,1.1451796130743357e-05,0.0008094977773603231,0.00037286423995096956,0.014146791320522604,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
9890,9891,49.455,0.0018766567897762043,0.017007641589756706,0.005,8.822677992824612e-05,0.0008098982953199318,3.401528317951341e-05,0.0003736072002021554,5.421149674873271e-05,0.0004362910951177764,0.04999999999999716,5.441419927971737e-05,5.4215096736197e-05,1.9910254352036955e-07,8.820798607479418e-05,3.399288933859718e-05,0.002257194074826111,0.0004478768183246556,0.0004364054524237915,1.1471365900864064e-05,0.0008097650225877391,0.0003733595701639476,0.014166289702419354,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
9900,9901,49.505,0.0018793770815490908,0.017030024941331927,0.005,8.826420803396479e-05,0.000810163437796098,3.406004988266385e-05,0.0003741023198637917,5.420415815130094e-05,0.0004360611179323063,0.05000000000000426,5.440583545772656e-05,5.420782745001682e-05,1.9800800770973693e-07,8.824549398110546e-05,3.4037666531088636e-05,0.002243831370609508,0.0004476670315043847,0.0004361761065250413,1.1490924979343405e-05,0.0008100308665580149,0.0003738547600329736,0.014185786559184677,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
9910,9911,49.555,0.001882096947829712,0.01705239773984381,0.005,8.830147605159405e-05,0.0008104271737903489,3.4104795479687625e-05,0.00037459729897042676,5.419668057190643e-05,0.00043582987481992217,0.04999999999999716,5.4397325612427566e-05,5.420041936160369e-05,1.9690625082387865e-07,8.828284204277942e-05,3.4082422681175735e-05,0.0022304022646718073,0.00044745597023772055,0.00043594549637611423,1.1510473861606316e-05,0.0008102953057932235,0.00037434980941710924,0.014205282665852732,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
