block_id,interval_start_time,physical_time,interval_duration,loop_index,completed_steps,energy,enstrophy,observed_energy_rate,mean_continuous_energy_rhs,energy_budget_residual,normalized_energy_budget_residual,observed_enstrophy_rate,absolute_observed_enstrophy_rate,mean_continuous_enstrophy_rhs,absolute_mean_continuous_enstrophy_rhs,enstrophy_budget_residual,normalized_enstrophy_budget_residual,energy_injection_rate,viscous_energy_dissipation_rate,enstrophy_injection_rate,viscous_enstrophy_dissipation_rate,mean_enstrophy_injection_rate,mean_viscous_enstrophy_dissipation_rate,stage1_advection_rms,stage2_advection_rms,max_stage_advection_rms,mask_removal_rms,vorticity_rms,maximum_absolute_vorticity,dominant_shell,tail_fraction_k_gt_4,high_k_fraction_k_ge_10,middle_k_fraction_5_le_k_le_9,low_k_fraction_k_le_4
3,54.505,55.005,0.5,11000,11001,0.0021742892558560896,0.019412568652992523,5.263603077478637e-05,5.257207324005185e-05,6.395753473451568e-08,0.0007013781721670917,0.0004176740744068,0.0004176740744068,0.0004040130195387287,0.0004040130195387287,1.3661054868071285e-05,0.016472811410775914,9.127417968695295e-05,3.8825137305985045e-05,0.0008297645498816118,0.0004276977027722184,0.0008293092494906316,0.00042529622995190287,0.00755076724103866,0.007552250491473757,0.007552250491473757,1.5067523262432484e-06,0.19704095337260485,0.6408423841273472,3,0.011114488876970073,0.00023394166966789683,0.010880547207302176,0.9888855111230298
3,55.005,55.505,0.5,11100,11101,0.002200473447964743,0.01961953175056369,5.236838421730696e-05,5.231611741500624e-05,5.226680230072377e-08,0.000572171012734338,0.0004139261951423348,0.0004139261951423348,0.00040002729798245453,0.00040002729798245453,1.3898897159880276e-05,0.01674323236670116,9.142225595017195e-05,3.923906350112738e-05,0.0008304760602316802,0.0004324883113761646,0.000830120305056646,0.0004300930070741915,0.007703281527073665,0.007704808901660186,0.007704808901660186,1.5449417370547498e-06,0.19808852440544703,0.64451587419253,,,,,
3,55.505,56.005,0.5,11200,11201,0.002226514212855523,0.019824531210775112,5.2081529781559596e-05,5.204001559970323e-05,4.1514181856368976e-08,0.00045378586645182165,0.0004099989204228438,0.0004099989204228438,0.00039585081140406487,0.00039585081140406487,1.4148109018778936e-05,0.017030962694209964,9.154590117191211e-05,3.964906242155023e-05,0.0008309812834085458,0.0004372674094559317,0.000830728671820113,0.00043487786041604816,0.00786027369091514,0.007861845439122193,0.007861845439122193,1.5831323055455275e-06,0.199120723234801,0.6492625492912727,,,,,
3,56.005,56.505,0.5,11300,11301,0.0022524016843685326,0.02002747400208793,5.177494302601934e-05,5.174304016097809e-05,3.190286504125493e-08,0.00034830339251478934,0.0004058855826256369,0.0004058855826256369,0.0003914753099593794,0.0003914753099593794,1.4410272666257485e-05,0.017338231516549285,9.164418957577015e-05,4.005494800417586e-05,0.0008312727535735913,0.0004420360076074466,0.0008311270184910686,0.00043965170853168915,0.008021761242604657,0.008023377501092768,0.008023377501092768,1.6211682368053464e-06,0.20013732286651548,0.6541067278191912,,,,,
3,56.505,57.005,0.5,11400,11401,0.002278125723089204,0.02022826354512211,5.1448077441343214e-05,5.142444061353424e-05,2.3636827808974853e-08,0.0002578183014384204,0.0004015790860683599,0.0004015790860683599,0.0003868920916436187,0.0003868920916436187,1.4686994424741202e-05,0.017667337224038335,9.17161667457184e-05,4.045652709024422e-05,0.0008313427541847536,0.00044679531686366085,0.0008313077538791725,0.0004444156622355537,0.008187749894025813,0.008189410682995476,0.008189410682995476,1.6588980073015986e-06,0.20113807966231612,0.6587584802765133,,,,,
3,57.005,57.505,0.5,11500,11501,0.0023036759050910007,0.02042679948922045,5.1100364003592996e-05,5.108344645173627e-05,1.6917551856726848e-08,0.00018441058124335515,0.0003970718881966817,0.0003970718881966817,0.0003820920059960109,0.0003820920059960109,1.4979882200670785e-05,0.018020628084643886,9.176085222643927e-05,4.0853598978440906e-05,0.000831183338724933,0.00045154676405400387,0.0008312630464548433,0.00044917104045883236,0.008358233246636539,0.008359938465364257,0.008359938465364257,1.696184599667736e-06,0.20212273246332513,0.6631884016311188,3,0.011167451598124755,0.00023407524886972578,0.010933376349255028,0.9888325484018751
3,57.505,58.005,0.5,11600,11601,0.002329041510502039,0.02062297748033938,5.073121082207685e-05,5.0719270424803535e-05,1.1940397273314395e-08,0.0001301135580279304,0.0003923559822378575,0.0003923559822378575,0.0003770654613434232,0.0003770654613434232,1.52905208944343e-05,0.01840048102316432,9.177724256228746e-05,4.124595496067876e-05,0.0008307863538265935,0.00045629200581067623,0.0008309848462757632,0.00045391938493234,0.008533192429112851,0.008534941850479101,0.008534941850479101,1.7329169074934693e-06,0.2030910016733355,0.6673645843375728,,,,,
3,58.005,58.505,0.5,11700,11701,0.002354211511977436,0.020816688921458125,5.0340002950793536e-05,5.033111228070232e-05,8.890670091218954e-09,9.687909614429757e-05,0.0003874228822374898,0.0003874228822374898,0.0003718024360449101,0.0003718024360449101,1.5620446192579672e-05,0.018809279015397997,9.176431480271219e-05,4.163337784291625e-05,0.0008301434648859873,0.0004610329408120843,0.0008304649093562904,0.0004586624733113803,0.008712595665035279,0.008714388928891302,0.008714388928891302,1.7690217597957148e-06,0.20404258830674601,0.6712525550521429,,,,,
3,58.505,59.005,0.5,11800,11801,0.0023791745632031304,0.021007820727240056,4.9926102451389e-05,4.991816300421498e-05,7.93944717401954e-09,8.654039548266239e-05,0.0003822636115638628,0.0003822636115638628,0.0003662924942930514,0.0003662924942930514,1.5971117270811375e-05,0.01924938760304056,9.172103050311414e-05,4.201564145448011e-05,0.000829246184298347,0.00046577171978614716,0.0008296948245921672,0.00046340233029911577,0.008896397750372447,0.00889823435565726,0.00889823435565726,1.804475671417449e-06,0.20497717300831356,0.6748152321142709,,,,,
3,59.005,59.505,0.5,11900,11901,0.00240391898761092,0.021196255075309645,4.94888488155789e-05,4.947960957453809e-05,9.239241040809407e-09,0.00010077301106308211,0.0003768686961391765,0.0003768686961391765,0.00036052480714500196,0.00036052480714500196,1.6343888994174542e-05,0.019723131078527936,9.164634025106144e-05,4.239251015061929e-05,0.0008280859024885946,0.0004705107527107905,0.0008286660433934708,0.00046814123624846886,0.00908453942143424,0.009086418717037501,0.009086418717037501,1.8393150640476487e-06,0.20589441505446254,0.6780129087605768,,,,,
