run,output_dir,saved_index,step,fit_kmin,fit_kmax,fit_points,slope,r_squared
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,2,2000,9,35,27,-1.2428071730135772,0.8690720516184496
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,3,3000,9,35,27,-1.3055957224565893,0.8819355765055431
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,4,4000,9,35,27,-1.3683906908368713,0.8929226936930442
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,5,5000,9,35,27,-1.4311918190818778,0.9023233721056324
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,6,6000,9,35,27,-1.4939973657543804,0.9103855243490471
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,7,7000,9,35,27,-1.5568031398698976,0.91732070357762
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,8,8000,9,35,27,-1.6196012860817692,0.9233092911843891
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,9,9000,9,35,27,-1.6823790175425721,0.9285048752329419
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,10,10000,9,35,27,-1.7451176770182004,0.9330375288193263
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,11,11000,9,35,27,-1.8077926953671803,0.9370156975370488
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,12,12000,9,35,27,-1.8703750966775907,0.9405264990317024
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,13,13000,9,35,27,-1.9328349969504866,0.9436345487330084
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,14,14000,9,35,27,-1.9951468823496772,0.9463800330318783
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,15,15000,9,35,27,-2.057295306913897,0.9487775646568728
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,16,16000,9,35,27,-2.119278343928704,0.9508179973725094
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,17,17000,9,35,27,-2.1811054277417683,0.9524752307483855
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,18,18000,9,35,27,-2.242787076115434,0.953718617512352
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,19,19000,9,35,27,-2.3043168233228664,0.954529133245464
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,20,20000,9,35,27,-2.3656498142595233,0.9549151473348146
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,21,21000,9,35,27,-2.4266862611634914,0.954922757846498
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,22,22000,9,35,27,-2.4872698679670378,0.954636423842279
