run,output_dir,saved_index,step,peak_k,peak_kmin,peak_kmax,mid_kmin,mid_kmax,total_energy,peak_mode_energy,midrange_energy,high_k_energy,peak_fraction,midrange_fraction,high_k_fraction
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,45,45000,3.0,2.0,4.0,9,35,0.0002809651818655163,0.0002809651805537548,2.7461342986489115e-13,4.041237532729574e-16,0.9999999953312313,9.773930991788678e-10,1.4383410449284453e-12
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,46,46000,3.0,2.0,4.0,9,35,0.00029350309225742406,0.0002935030909577578,2.6882028784949e-13,3.7746829366223697e-16,0.9999999955718822,9.159027449486446e-10,1.2860794438621082e-12
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,47,47000,3.0,2.0,4.0,9,35,0.0003063107942703248,0.0003063107929828235,2.6316858019988237e-13,3.5719808578908565e-16,0.9999999957967485,8.591554235846854e-10,1.1661296058468377e-12
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,48,48000,3.0,2.0,4.0,9,35,0.00031938804289661956,0.00031938804162134904,2.5767263381448614e-13,3.4413603538021294e-16,0.9999999960071438,8.067698198015834e-10,1.0774856574439886e-12
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,49,49000,3.0,2.0,4.0,9,35,0.00033273459330062174,0.0003327345920376421,2.523418799755069e-13,3.3729124299782855e-16,0.9999999962042431,7.58387871463425e-10,1.0136945475130983e-12
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,0,0,3.0,2.0,4.0,9,41,3.114928797828652e-12,9.53772507631673e-13,7.508547535103216e-13,4.17349261639909e-13,0.30619399977826994,0.2410503745811865,0.13398356390387925
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,1,1000,3.0,2.0,4.0,9,41,3.9134661309184364e-07,3.9134454983558217e-07,7.318981917955481e-13,3.3717068265327986e-13,0.9999947278034549,1.8702044870483694e-06,8.615653524875417e-07
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,2,2000,3.0,2.0,4.0,9,41,1.5634710304612652e-06,1.56346904570115e-06,7.137668270326544e-13,2.7586579532147243e-13,0.9999987305424427,4.565270562269864e-07,1.7644445592323174e-07
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,3,3000,3.0,2.0,4.0,9,41,3.5159079400468507e-06,3.5159060195990645e-06,6.964141430450618e-13,2.2824500394938484e-13,0.9999994537832563,1.9807519278669788e-07,6.491779871413339e-08
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,4,4000,3.0,2.0,4.0,9,41,6.248189135019849e-06,6.2481872683210676e-06,6.797959327820498e-13,1.9071714825387569e-13,0.9999997012416332,1.0879887245600966e-07,3.052358757594969e-08
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,5,5000,3.0,2.0,4.0,9,41,9.759846628084067e-06,9.759844807127128e-06,6.63870065817662e-13,1.6075401847289025e-13,0.9999998134236112,6.80205428543691e-08,1.6470957444179378e-08
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,6,6000,3.0,2.0,4.0,9,41,1.4050412651038044e-05,1.4050410869651877e-05,6.485962961491716e-13,1.3654587811395767e-13,0.9999998732146727,4.616208165966238e-08,9.718282409582444e-09
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,7,7000,3.0,2.0,4.0,9,41,1.911941965445637e-05,1.9119417907810866e-05,6.339361385135396e-13,1.167764120014616e-13,0.9999999086454749,3.315666217754582e-08,6.107738315908729e-09
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,8,8000,3.0,2.0,4.0,9,41,2.4966400307447083e-05,2.496639859170721e-05,6.198528403860255e-13,1.0047350646093929e-13,0.9999999312780437,2.482748144517787e-08,4.024348933913778e-09
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,9,9000,3.0,2.0,4.0,9,41,3.159088749745762e-05,3.1590885809538155e-05,6.063114692802649e-13,8.690894381812451e-14,0.9999999465694193,1.9192606390974608e-08,2.751076361027173e-09
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,10,10000,3.0,2.0,4.0,9,41,3.899241433011183e-05,3.899241266750078e-05,5.932791148914953e-13,7.55301336773957e-14,0.999999957360654,1.5215244428538412e-08,1.9370468583441285e-09
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,11,11000,3.0,2.0,4.0,9,41,4.7170514129070233e-05,4.717051248969998e-05,5.807251694314848e-13,6.591310046600947e-14,0.9999999652458684,1.2311190160922914e-08,1.3973369102073993e-09
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,12,12000,3.0,2.0,4.0,9,41,5.6124720435901935e-05,5.612471881805391e-05,5.686216004404296e-13,5.772967419422277e-14,0.9999999711740564,1.0131393012279363e-08,1.0285962004951776e-09
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,13,13000,3.0,2.0,4.0,9,41,6.585456700996689e-05,6.585456541220012e-05,5.569430830081257e-13,5.07241362159669e-14,0.9999999757379504,8.457167183618928e-09,7.702447760121171e-10
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,14,14000,3.0,2.0,4.0,9,41,7.635958782830722e-05,7.635958624940403e-05,5.456668392739112e-13,4.4696050856036784e-14,0.9999999793227906,7.146016037970641e-09,5.853364603870679e-10
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,15,15000,3.0,2.0,4.0,9,41,8.763931708554027e-05,8.763931552446472e-05,5.347720735927617e-13,3.94870601145588e-14,0.9999999821874975,6.101965320779462e-09,4.5056330226783364e-10
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,16,16000,3.0,2.0,4.0,9,41,9.96932891937553e-05,9.969328764962074e-05,5.242390097192631e-13,3.4970280677662764e-14,0.9999999845111485,5.2585185418087395e-09,3.507786829030943e-10
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,17,17000,3.0,2.0,4.0,9,41,0.00011252103878241451,0.00011252103725445828,5.140477129648378e-13,3.1041726814154176e-14,0.9999999864207063,4.568458650287331e-09,2.758748688250252e-10
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,18,18000,3.0,2.0,4.0,9,41,0.00012612210069825428,0.00012612209918581735,5.041770482603563e-13,2.7613838559891846e-14,0.999999988008153,3.997531324558209e-09,2.1894527927312e-10
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,19,19000,3.0,2.0,4.0,9,41,0.00014049601000518705,0.000140496008507698,4.946041900030834e-13,2.4611532098406975e-14,0.9999999893414123,3.5204144942253012e-09,1.7517602170693906e-10
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,20,20000,3.0,2.0,4.0,9,41,0.00015564230198420758,0.00015564230050116938,4.853050004932559e-13,2.197098493225937e-14,0.9999999904714967,3.1180790460327294e-09,1.4116332547233e-10
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,21,21000,3.0,2.0,4.0,9,41,0.00017156051213329453,0.00017156051066427374,4.762553669638729e-13,1.9640564509552444e-14,0.9999999914373023,2.776019732290404e-09,1.1448184821395637e-10
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,22,22000,3.0,2.0,4.0,9,41,0.00018825017616731828,0.00018825017471193648,4.674333574990085e-13,1.75822193364111e-14,0.9999999922688955,2.4830434000951477e-09,9.339815608344441e-11
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,23,23000,3.0,2.0,4.0,9,41,0.00020571083001794403,0.00020571082857587036,4.588219081360417e-13,1.5770990764685818e-14,0.9999999929898019,2.230421743454241e-09,7.666582631215927e-11
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,24,24000,3.0,2.0,4.0,9,41,0.00022394200983353934,0.0002239420084044845,4.5041157418412693e-13,1.4190867066775931e-14,0.9999999936186388,2.01128664746256e-09,6.336849025032994e-11
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,25,25000,3.0,2.0,4.0,9,41,0.00024294325197908137,0.00024294325056279224,4.4220242361371664e-13,1.2827240510098087e-14,0.9999999941702883,1.8201881304025374e-09,5.279932826124587e-11
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,26,26000,3.0,2.0,4.0,9,41,0.0002627140930360584,0.00026271409163231387,4.3420349708125015e-13,1.1658914036779025e-14,0.9999999946567597,1.6527605811449721e-09,4.437871566782982e-11
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,27,27000,3.0,2.0,4.0,9,41,0.0002832540698023841,0.0002832540684109912,4.264282878354459e-13,1.0654162792217233e-14,0.9999999950878273,1.505462174410942e-09,3.7613450001443043e-11
