run,start_index,end_index,window_label,window_length,start_step,end_step,fit_kmin,fit_kmax,fit_label,fit_range_width,fit_points,slope,distance_from_minus3,r_squared,compensated_mean,compensated_std,compensated_cv,cv_points,per_snapshot_slope_mean,per_snapshot_slope_std,per_snapshot_r2_mean,per_snapshot_cv_mean,per_snapshot_cv_std,residual_energy_start,residual_energy_end,residual_energy_change_pct,robustness_class
nu_5e-05_f_0.01_m_2,38,43,38:43,6,38000,43000,8,40,k=8:40,32,33,-2.8326032032939885,0.16739679670601149,0.9615036569323152,46.73255938393183,11.582496314223203,0.2478463937544504,33,-2.8351491310161396,0.0559080785429997,0.9596499764657453,0.25590652474930836,0.00612907416494017,1.2627171300096857e-12,1.2059075312746157e-12,-4.498996440686145,moderately_near_-3
nu_5e-05_f_0.01_m_2,38,43,38:43,6,38000,43000,9,41,k=9:41,32,33,-3.0012269180685887,0.001226918068588656,0.9668512205401059,47.00309357558673,11.037012301053897,0.23481459328427032,33,-3.0035904443227337,0.052910110067137806,0.9650245632863745,0.2432632815311125,0.008396425671812714,1.2627171300096857e-12,1.2059075312746157e-12,-4.498996440686145,near_-3
nu_5e-05_f_0.01_m_2,38,43,38:43,6,38000,43000,10,42,k=10:42,32,33,-3.0899274915799357,0.08992749157993574,0.9619758607299174,46.676720954183565,11.462014919550873,0.24556169939190103,33,-3.0918832157717517,0.05025579617006722,0.9600389752934534,0.25379136833931876,0.007801142956168493,1.2627171300096857e-12,1.2059075312746157e-12,-4.498996440686145,near_-3
nu_5e-05_f_0.01_m_2,38,43,38:43,6,38000,43000,9,35,k=9:35,26,27,-2.7526341855939123,0.24736581440608774,0.969312858992587,49.56981877834414,10.340940637765758,0.20861364621900666,27,-2.755342221435223,0.06258862526105603,0.9667558472957091,0.21769274817166906,0.006265542919852235,1.2627171300096857e-12,1.2059075312746157e-12,-4.498996440686145,moderately_near_-3
nu_5e-05_f_0.01_m_2,38,43,38:43,6,38000,43000,12,40,k=12:40,28,29,-3.162116486941047,0.1621164869410472,0.9675541639411922,48.97056695200768,10.197250083602055,0.20823222433988978,29,-3.1649873754129776,0.047084120382921,0.9649979484295933,0.21769001332291782,0.014387002222161768,1.2627171300096857e-12,1.2059075312746157e-12,-4.498996440686145,moderately_near_-3
nu_5e-05_f_0.01_m_2,39,44,39:44,6,39000,44000,8,40,k=8:40,32,33,-2.8656581504300513,0.13434184956994866,0.9624843789975436,45.54193878377286,11.403148311142875,0.25038785382597617,33,-2.8686135994572806,0.05888645859137368,0.9606746290859262,0.2585743831564341,0.008953505752171003,1.2513335102231113e-12,1.1945511296053127e-12,-4.537749541101505,moderately_near_-3
nu_5e-05_f_0.01_m_2,39,44,39:44,6,39000,44000,9,41,k=9:41,32,33,-3.0331359982511095,0.033135998251109466,0.967356846991648,45.76069084667243,10.970679362795918,0.2397402477937824,33,-3.035972489687261,0.05533365288825081,0.9655898072411876,0.2481869228572151,0.012472846075927708,1.2513335102231113e-12,1.1945511296053127e-12,-4.537749541101505,near_-3
nu_5e-05_f_0.01_m_2,39,44,39:44,6,39000,44000,10,42,k=10:42,32,33,-3.1211608336630876,0.12116083366308761,0.9630200309838004,45.425112195416986,11.386041291885515,0.2506552156195725,33,-3.1235359083887957,0.05187451604012252,0.9611040027344614,0.25890921343447776,0.011153629200622043,1.2513335102231113e-12,1.1945511296053127e-12,-4.537749541101505,moderately_near_-3
nu_5e-05_f_0.01_m_2,39,44,39:44,6,39000,44000,9,35,k=9:35,26,27,-2.7879420780223216,0.21205792197767837,0.9687373707087191,48.374139847113476,10.245239856173269,0.21179166985817963,27,-2.7905741795696106,0.05545446976312094,0.9662737124041,0.22064122129718614,0.008305766774135418,1.2513335102231113e-12,1.1945511296053127e-12,-4.537749541101505,moderately_near_-3
nu_5e-05_f_0.01_m_2,39,44,39:44,6,39000,44000,12,40,k=12:40,28,29,-3.1909218202822793,0.19092182028227933,0.9672456925186467,47.60613852312617,10.311243500564688,0.21659483042414118,29,-3.194341701204299,0.053298471248630165,0.9647084620257083,0.22584003409685507,0.01859948350707549,1.2513335102231113e-12,1.1945511296053127e-12,-4.537749541101505,moderately_near_-3
