N,field_name,classification,primary_evidence,method_a,method_b_reference,method_a_l2,method_b_l2,diff_l2,diff_max_abs,relative_error_vs_method_b,cosine_similarity,method_a_energy,method_b_energy,energy_diff_a_minus_b,energy_abs_diff,method_a_enstrophy,method_b_enstrophy,enstrophy_diff_a_minus_b,enstrophy_abs_diff,positive_alignment,no_large_pairwise_disagreement,pairwise_result
64,higher_smooth_multimode,higher_smooth_nonlinear,True,arakawa,fd_centered,0.009997969950105885,0.009997969950134827,7.379995718967804e-09,2.600621999086089e-08,7.381494199098169e-07,0.9999999999997274,1.268756798584198e-06,1.2687567985853e-06,-1.1019898643778447e-18,1.1019898643778447e-18,4.997970156161013e-05,4.997970156189949e-05,-2.8936000730922506e-16,2.8936000730922506e-16,PASS,PASS,PASS
64,higher_smooth_multimode,higher_smooth_nonlinear,True,arakawa,pseudo_spectral,0.009997969950105885,0.009997969950105864,8.799609427927367e-09,2.2870076876345055e-08,8.80139615526069e-07,0.9999999999996128,1.268756798584198e-06,1.2687567985841963e-06,1.6940658945086007e-21,1.6940658945086007e-21,4.997970156161013e-05,4.997970156160992e-05,2.1006417091906648e-19,2.1006417091906648e-19,PASS,PASS,PASS
128,single_mode_k2_2,controlled_single_mode_reference,False,pseudo_spectral,fd_centered,0.0050247995040000005,0.0050247995040000005,9.889478824583786e-20,1.734723475976807e-18,1.9681340154390737e-17,0.9999999999999999,1.5780381284624167e-06,1.5780381284624167e-06,0.0,0.0,1.2624305027699327e-05,1.2624305027699327e-05,0.0,0.0,PASS,PASS,PASS
128,single_mode_k2_2,controlled_single_mode_reference,False,arakawa,fd_centered,0.0050247995040000005,0.0050247995040000005,9.050989183925205e-20,1.734723475976807e-18,1.8012637472838766e-17,0.9999999999999999,1.5780381284624167e-06,1.5780381284624167e-06,0.0,0.0,1.2624305027699327e-05,1.2624305027699327e-05,0.0,0.0,PASS,PASS,PASS
128,single_mode_k2_2,controlled_single_mode_reference,False,arakawa,pseudo_spectral,0.0050247995040000005,0.0050247995040000005,1.0324862162491638e-19,1.734723475976807e-18,2.0547809229547394e-17,0.9999999999999999,1.5780381284624167e-06,1.5780381284624167e-06,0.0,0.0,1.2624305027699327e-05,1.2624305027699327e-05,0.0,0.0,PASS,PASS,PASS
128,low_mode_pair,low_k_nonlinear,True,pseudo_spectral,fd_centered,0.006269745120474147,0.006269745120474535,1.6867412916378853e-10,4.966134170558689e-10,2.690286860513114e-08,0.9999999999999998,2.281092819477955e-06,2.2810928194781454e-06,-1.9058241313221758e-19,1.9058241313221758e-19,1.9654851937854693e-05,1.9654851937857122e-05,-2.4292904927253334e-18,2.4292904927253334e-18,PASS,PASS,PASS
128,low_mode_pair,low_k_nonlinear,True,arakawa,fd_centered,0.006269745120474147,0.006269745120474535,9.443757925348091e-11,2.1847011708978472e-10,1.5062427170298313e-08,0.9999999999999998,2.281092819477955e-06,2.2810928194781454e-06,-1.9058241313221758e-19,1.9058241313221758e-19,1.9654851937854693e-05,1.9654851937857122e-05,-2.4292904927253334e-18,2.4292904927253334e-18,PASS,PASS,PASS
128,low_mode_pair,low_k_nonlinear,True,arakawa,pseudo_spectral,0.006269745120474147,0.006269745120474147,1.1121395079113992e-10,2.8814581384990767e-10,1.773819328443919e-08,1.0,2.281092819477955e-06,2.281092819477955e-06,0.0,0.0,1.9654851937854693e-05,1.9654851937854693e-05,0.0,0.0,PASS,PASS,PASS
128,phase6d_like_multimode,phase6d_like_low_k_nonlinear,True,pseudo_spectral,fd_centered,0.010016891413765919,0.010016891413771137,1.1676167296838276e-09,4.294638564911191e-09,1.1656477857777295e-07,0.9999999999999932,5.081005135569795e-06,5.081005135571946e-06,-2.151463686025923e-18,2.151463686025923e-18,5.01690567975887e-05,5.016905679764097e-05,-5.227209724095738e-17,5.227209724095738e-17,PASS,PASS,PASS
128,phase6d_like_multimode,phase6d_like_low_k_nonlinear,True,arakawa,fd_centered,0.01001689141376592,0.010016891413771137,6.564135710336291e-10,1.975391477997135e-09,6.553066654303523e-08,0.9999999999999979,5.081005135569795e-06,5.081005135571946e-06,-2.151463686025923e-18,2.151463686025923e-18,5.0169056797588714e-05,5.016905679764097e-05,-5.2258544713801314e-17,5.2258544713801314e-17,PASS,PASS,PASS
128,phase6d_like_multimode,phase6d_like_low_k_nonlinear,True,arakawa,pseudo_spectral,0.01001689141376592,0.010016891413765919,1.3430517528101565e-09,5.321093367142982e-09,1.3407869740550845e-07,0.9999999999999913,5.081005135569795e-06,5.081005135569795e-06,0.0,0.0,5.0169056797588714e-05,5.01690567975887e-05,1.3552527156068805e-20,1.3552527156068805e-20,PASS,PASS,PASS
128,higher_smooth_multimode,higher_smooth_nonlinear,True,pseudo_spectral,fd_centered,0.009997969950105866,0.009997969950115879,2.71220429269782e-09,8.336713570346321e-09,2.712754995494245e-07,0.9999999999999634,1.2687567985841976e-06,1.2687567985846668e-06,-4.692562527788824e-19,4.692562527788824e-19,4.997970156160995e-05,4.9979701561710056e-05,-1.0010574183830223e-16,1.0010574183830223e-16,PASS,PASS,PASS
128,higher_smooth_multimode,higher_smooth_nonlinear,True,arakawa,fd_centered,0.009997969950105871,0.009997969950115879,1.896195809736492e-09,6.678461726347673e-09,1.896580825104915e-07,0.9999999999999823,1.2687567985841978e-06,1.2687567985846668e-06,-4.690444945420688e-19,4.690444945420688e-19,4.9979701561610005e-05,4.9979701561710056e-05,-1.0005153172967796e-16,1.0005153172967796e-16,PASS,PASS,PASS
128,higher_smooth_multimode,higher_smooth_nonlinear,True,arakawa,pseudo_spectral,0.009997969950105871,0.009997969950105866,2.3043385686296723e-09,5.967304109828417e-09,2.30480645583984e-07,0.9999999999999738,1.2687567985841978e-06,1.2687567985841976e-06,2.117582368135751e-22,2.117582368135751e-22,4.9979701561610005e-05,4.997970156160995e-05,5.421010862427522e-20,5.421010862427522e-20,PASS,PASS,PASS
