row_type,run,saved_index,step,window_start_index,window_end_index,fit_kmin,fit_kmax,removed_k,fit_points,baseline_slope,loo_slope,slope_change,abs_slope_change,baseline_r_squared,loo_r_squared,r_squared_change,abs_r_squared_change,loo_rmse_log10,within_near_minus3_band,loo_slope_mean,loo_slope_median,loo_slope_std,loo_slope_min,loo_slope_max,max_abs_slope_change,mean_abs_slope_change,median_abs_slope_change,most_influential_k_by_slope,most_influential_slope_after_removal,most_influential_slope_change,loo_r_squared_mean,loo_r_squared_min,loo_r_squared_max,max_abs_r_squared_change,most_influential_k_by_r2,most_influential_r2_after_removal,most_influential_r2_change,n_leave_one_out_fits,n_within_near_minus3_band,n_snapshots_all_within_near_minus3_band
window_leave_one_out,nu_5e-05_f_0.01_m_2,38:43,38000:43000,38,43,9,41,25,32,-3.0004034112696227,-3.004859418407822,-0.004456007138199158,0.004456007138199158,0.9668214210155479,0.9685818478594059,0.0017604268438580206,0.0017604268438580206,0.10267005986685816,True,,,,,,,,,,,,,,,,,,,,,
window_leave_one_out,nu_5e-05_f_0.01_m_2,38:43,38000:43000,38,43,9,41,26,32,-3.0004034112696227,-2.999730281609391,0.0006731296602318082,0.0006731296602318082,0.9668214210155479,0.9667419461452766,-7.947487027126776e-05,7.947487027126776e-05,0.10548063314942265,True,,,,,,,,,,,,,,,,,,,,,
window_leave_one_out,nu_5e-05_f_0.01_m_2,38:43,38000:43000,38,43,9,41,27,32,-3.0004034112696227,-3.0032462457493163,-0.002842834479693579,0.002842834479693579,0.9668214210155479,0.9669305864811368,0.00010916546558892293,0.00010916546558892293,0.10519810452719025,True,,,,,,,,,,,,,,,,,,,,,
window_leave_one_out,nu_5e-05_f_0.01_m_2,38:43,38000:43000,38,43,9,41,28,32,-3.0004034112696227,-3.007261925598323,-0.006858514328700327,0.006858514328700327,0.9668214210155479,0.9674909371009424,0.0006695160853944504,0.0006695160853944504,0.10429650573545582,True,,,,,,,,,,,,,,,,,,,,,
window_leave_one_out,nu_5e-05_f_0.01_m_2,38:43,38000:43000,38,43,9,41,29,32,-3.0004034112696227,-3.00549337949871,-0.0050899682290874715,0.0050899682290874715,0.9668214210155479,0.9669269620620975,0.0001055410465495843,0.0001055410465495843,0.10503094680197313,True,,,,,,,,,,,,,,,,,,,,,
window_leave_one_out,nu_5e-05_f_0.01_m_2,38:43,38000:43000,38,43,9,41,30,32,-3.0004034112696227,-3.006645056159413,-0.006241644889790177,0.006241644889790177,0.9668214210155479,0.9669008409269959,7.941991144799765e-05,7.941991144799765e-05,0.1049623153531961,True,,,,,,,,,,,,,,,,,,,,,
window_leave_one_out,nu_5e-05_f_0.01_m_2,38:43,38000:43000,38,43,9,41,31,32,-3.0004034112696227,-3.002389263505824,-0.001985852236201069,0.001985852236201069,0.9668214210155479,0.9663979898530287,-0.00042343116251919444,0.00042343116251919444,0.10546668995862006,True,,,,,,,,,,,,,,,,,,,,,
window_leave_one_out,nu_5e-05_f_0.01_m_2,38:43,38000:43000,38,43,9,41,32,32,-3.0004034112696227,-2.9936425909247184,0.006760820344904328,0.006760820344904328,0.9668214210155479,0.9663252087077342,-0.0004962123078137148,0.0004962123078137148,0.10509638386238078,True,,,,,,,,,,,,,,,,,,,,,
window_leave_one_out,nu_5e-05_f_0.01_m_2,38:43,38000:43000,38,43,9,41,33,32,-3.0004034112696227,-3.001464252257143,-0.0010608409875203506,0.0010608409875203506,0.9668214210155479,0.9661241593452157,-0.0006972616703322387,0.0006972616703322387,0.10550196806269073,True,,,,,,,,,,,,,,,,,,,,,
window_leave_one_out,nu_5e-05_f_0.01_m_2,38:43,38000:43000,38,43,9,41,34,32,-3.0004034112696227,-3.001308189850134,-0.0009047785805114117,0.0009047785805114117,0.9668214210155479,0.9659911017245834,-0.000830319290964554,0.000830319290964554,0.10550520691844724,True,,,,,,,,,,,,,,,,,,,,,
