run,output_dir,saved_index,step,peak_k,peak_kmin,peak_kmax,mid_kmin,mid_kmax,total_energy,peak_mode_energy,midrange_energy,high_k_energy
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,11,11000,3.0,2.0,4.0,6,40,4.2415047478631904e-06,4.241503518321405e-06,6.940256805342785e-13,3.2803083698396757e-14
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,12,12000,3.0,2.0,4.0,6,40,5.046067943071645e-06,5.0460667336624824e-06,6.789634744659781e-13,2.7406123839944017e-14
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,13,13000,3.0,2.0,4.0,6,40,5.920187318672448e-06,5.920186127710584e-06,6.646325555214585e-13,2.2989606589872585e-14
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,14,14000,3.0,2.0,4.0,6,40,6.863800144750528e-06,6.863798970796467e-06,6.509818133367235e-13,1.935402632973541e-14
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,15,15000,3.0,2.0,4.0,6,40,7.876843735368445e-06,7.876842577178967e-06,6.379641202182639e-13,1.634589692018438e-14
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,16,16000,3.0,2.0,4.0,6,40,8.959255448525854e-06,8.959254305016774e-06,6.255359889825709e-13,1.384571521503737e-14
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,17,17000,3.0,2.0,4.0,6,40,1.0110972686122334e-05,1.0110971556340121e-05,6.136572647722166e-13,1.1759442918141759e-14
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,18,18000,3.0,2.0,4.0,6,40,1.1331932893922987e-05,1.1331931777022678e-05,6.022908475353134e-13,1.0012378690728261e-14
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,19,19000,3.0,2.0,4.0,6,40,1.262207356152557e-05,1.2622072456753439e-05,5.914024419749674e-13,8.544683079013668e-15
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,20,20000,3.0,2.0,4.0,6,40,1.398133222232848e-05,1.398133112900823e-05,5.809603318345332e-13,7.308065358274512e-15
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,21,21000,3.0,2.0,4.0,6,40,1.540964645350045e-05,1.540964537102205e-05,5.709351754300779e-13,6.263299805866622e-15
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,22,22000,3.0,2.0,4.0,6,40,1.690695387594969e-05,1.6906952803760343e-05,5.612998193891419e-13,5.378342469038267e-15
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,23,23000,3.0,2.0,4.0,6,40,1.8473192154294887e-05,1.847319109189151e-05,5.520291276509236e-13,4.626888289636611e-15
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,24,24000,3.0,2.0,4.0,6,40,2.0108298996835274e-05,2.0108297943758347e-05,5.430998229749441e-13,3.9872548650390535e-15
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,25,25000,3.0,2.0,4.0,6,40,2.1812212155521795e-05,2.1812211111350115e-05,5.344903385032675e-13,3.4415109144460792e-15
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,26,26000,3.0,2.0,4.0,6,40,2.3584869425927936e-05,2.3584868390274277e-05,5.26180677363128e-13,2.974789615716014e-15
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,27,27000,3.0,2.0,4.0,6,40,2.5426208647221838e-05,2.5426207619729203e-05,5.181522788811273e-13,2.5747425694048696e-15
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,28,28000,3.0,2.0,4.0,6,40,2.7336167702136917e-05,2.7336166682475382e-05,5.103878906625215e-13,2.2311013246046873e-15
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,29,29000,3.0,2.0,4.0,6,40,2.931468451694326e-05,2.9314683504807194e-05,5.02871446561562e-13,1.9353215539492903e-15
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,30,30000,3.0,2.0,4.0,6,40,3.13616970614198e-05,3.136169605652551e-05,4.955879513007849e-13,1.680291023911024e-15
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,31,31000,3.0,2.0,4.0,6,40,3.3477143348826277e-05,3.347714235090994e-05,4.88523373110037e-13,1.4600870992392097e-15
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,32,32000,3.0,2.0,4.0,6,40,3.566096143587451e-05,3.566096044469034e-05,4.816645461719945e-13,1.269773070714885e-15
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,33,33000,3.0,2.0,4.0,6,40,3.791308942269974e-05,3.791308843801844e-05,4.749990847100168e-13,1.1052253863627407e-15
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,34,34000,3.0,2.0,4.0,6,40,4.023346545283385e-05,4.023346447444113e-05,4.685153102374858e-13,9.629860837612718e-16
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,35,35000,3.0,2.0,4.0,6,40,4.2622027713176175e-05,4.2622026740871595e-05,4.62202192782875e-13,8.401364820381615e-16
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,36,36000,3.0,2.0,4.0,6,40,4.507871443396603e-05,4.507871346756175e-05,4.560493058534312e-13,7.34189565680394e-16
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,37,37000,3.0,2.0,4.0,6,40,4.760346388875452e-05,4.76034629280744e-05,4.500467936734838e-13,6.429995148887448e-16
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,38,38000,3.0,2.0,4.0,6,40,5.0196214394376674e-05,5.0196213439255316e-05,4.4418534805608733e-13,5.646875239487041e-16
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,39,39000,3.0,2.0,4.0,6,40,5.2856904310923145e-05,5.285690336120512e-05,4.384561913371806e-13,4.975834051247705e-16
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,40,40000,3.0,2.0,4.0,6,40,5.5585472041713345e-05,5.5585471097252365e-05,4.3285106140282946e-13,4.4018250559572224e-16
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,41,41000,3.0,2.0,4.0,6,40,5.838185603326601e-05,5.83818550939243e-05,4.273621950933438e-13,3.9111718491441194e-16
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,42,42000,3.0,2.0,4.0,6,40,6.124599477527284e-05,6.124599384092048e-05,4.219823072075344e-13,3.4914154932776637e-16
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,43,43000,3.0,2.0,4.0,6,40,6.417782680057015e-05,6.417782587108454e-05,4.167045638362785e-13,3.131273901812421e-16
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,44,44000,3.0,2.0,4.0,6,40,6.717729068511e-05,6.717728976037522e-05,4.1152255052447053e-13,2.820684421376858e-16
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,45,45000,3.0,2.0,4.0,6,40,7.024432504793448e-05,7.024432412784093e-05,4.0643023740999807e-13,2.550893206136016e-16
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,46,46000,3.0,2.0,4.0,6,40,7.337886855114586e-05,7.337886763558962e-05,4.014219446186822e-13,2.3145500444678884e-16
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,47,47000,3.0,2.0,4.0,6,40,7.65808598998806e-05,7.658085898876318e-05,3.964923114881271e-13,2.105766885081575e-16
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,48,48000,3.0,2.0,4.0,6,40,7.985023784228129e-05,7.985023693550898e-05,3.9163627257127454e-13,1.920103897003587e-16
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,49,49000,3.0,2.0,4.0,6,40,8.318694116946737e-05,8.318694026695106e-05,3.8684904194805107e-13,1.7544590310032161e-16
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,0,0,3.0,2.0,4.0,9,35,3.0403360048434487e-12,6.519324602858639e-13,7.294615952017876e-13,4.1452094748026394e-13
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,1,1000,3.0,2.0,4.0,9,35,1.4089831607238972e-07,1.4089606780468315e-07,7.083643468736943e-13,3.017907837688269e-13
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,2,2000,3.0,2.0,4.0,9,35,5.627903269063642e-07,5.627881806610775e-07,6.88287203764045e-13,2.2572795151130777e-13
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,3,3000,3.0,2.0,4.0,9,35,1.2654261998606097e-06,1.2654241313382217e-06,6.69169392437293e-13,1.72632865924266e-13
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,4,4000,3.0,2.0,4.0,9,35,2.24855324458542e-06,2.2485512376319226e-06,6.509543158580517e-13,1.3446497846203534e-13
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,5,5000,3.0,2.0,4.0,9,35,3.5119189507292387e-06,3.5119169941836217e-06,6.335891903958304e-13,1.0632781110824917e-13
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,6,6000,3.0,2.0,4.0,9,35,5.05527098649043e-06,5.055269072366801e-06,6.170247216742081e-13,8.513513960433517e-14
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,7,7000,3.0,2.0,4.0,9,35,6.878357197771138e-06,6.878355320173485e-06,6.012148129318875e-13,6.887906366840483e-14
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,8,8000,3.0,2.0,4.0,9,35,8.980925607648013e-06,8.980923762100732e-06,5.861163007680439e-13,5.6214877801506844e-14
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,9,9000,3.0,2.0,4.0,9,35,1.1362724416015136e-05,1.1362722599037158e-05,5.716887140636449e-13,4.621808596701041e-14
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,10,10000,3.0,2.0,4.0,9,35,1.402350199932388e-05,1.40235002081498e-05,5.57894052567052e-13,3.823788385067306e-14
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,11,11000,3.0,2.0,4.0,9,35,1.6963006910377815e-05,1.696300514277038e-05,5.446965821455402e-13,3.1806313745100885e-14
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,12,12000,3.0,2.0,4.0,9,35,2.018098787816181e-05,2.0180986132282616e-05,5.320626440728718e-13,2.6580453126849167e-14
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,13,13000,3.0,2.0,4.0,9,35,2.367719380769016e-05,2.3677192082008455e-05,5.199604759522286e-13,2.2304720177302694e-14
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,14,14000,3.0,2.0,4.0,9,35,2.7451373779869014e-05,2.745137207309595e-05,5.083600419535347e-13,1.8785730326881246e-14
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,15,15000,3.0,2.0,4.0,9,35,3.150327705136462e-05,3.150327536240495e-05,4.97232869902829e-13,1.5875161414101177e-14
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,16,16000,3.0,2.0,4.0,9,35,3.583265305447885e-05,3.583265138239478e-05,4.865518923054926e-13,1.345783723112031e-14
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,17,17000,3.0,2.0,4.0,9,35,4.043925139702846e-05,4.043924974101215e-05,4.762912875083247e-13,1.1443279866130761e-14
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,18,18000,3.0,2.0,4.0,9,35,4.532282186222458e-05,4.5322820221576894e-05,4.664263159081754e-13,9.759614439824924e-15
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,19,19000,3.0,2.0,4.0,9,35,5.048311440855614e-05,5.048311278267002e-05,4.569331446535386e-13,8.349104371443443e-15
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,20,20000,3.0,2.0,4.0,9,35,5.591987916967399e-05,5.591987755802123e-05,4.4778865334386706e-13,7.164846442060097e-15
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,21,21000,3.0,2.0,4.0,9,35,6.163286645427487e-05,6.163286485639561e-05,4.38970214082781e-13,6.16831680164696e-15
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,22,22000,3.0,2.0,4.0,9,35,6.762182674598761e-05,6.762182516148163e-05,4.3045544364991383e-13,5.327562447729798e-15
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,23,23000,3.0,2.0,4.0,9,35,7.388651070325847e-05,7.388650913177827e-05,4.22221935378757e-13,4.6158951825124044e-15
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,24,24000,3.0,2.0,4.0,9,35,8.04266691592376e-05,8.042666760048242e-05,4.1424699457434607e-13,4.010977538773961e-15
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,25,25000,3.0,2.0,4.0,9,35,8.724205312166775e-05,8.724205157537874e-05,4.0650742279411234e-13,3.4942013093781784e-15
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,26,26000,3.0,2.0,4.0,9,35,9.433241377276684e-05,9.433241223872287e-05,3.9897941834317976e-13,3.0502584333445816e-15
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,27,27000,3.0,2.0,4.0,9,35,0.00010169750246911929,0.00010169750094713346,3.916386739681298e-13,2.6668021928603247e-15
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,28,28000,3.0,2.0,4.0,9,35,0.00010933707074156137,0.00010933706923147799,3.8446074612425467e-13,2.3341057507634493e-15
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,29,29000,3.0,2.0,4.0,9,35,0.00011725087029507046,0.00011725086879676213,3.7742173229746573e-13,2.0446539703238494e-15
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,30,30000,3.0,2.0,4.0,9,35,0.00012543865300864912,0.0001254386515220146,3.704992198847632e-13,1.79265436885237e-15
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,31,31000,3.0,2.0,4.0,9,35,0.00013390017093521707,0.00013390016946017867,3.636733725116726e-13,1.5735132171789614e-15
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,32,32000,3.0,2.0,4.0,9,35,0.00014263517630149676,0.00014263517483799898,3.569279259449423e-13,1.3833707133063232e-15
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,33,33000,3.0,2.0,4.0,9,35,0.00015164342150790125,0.00015164342005590824,3.5025081882477954e-13,1.2187978712898266e-15
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,34,34000,3.0,2.0,4.0,9,35,0.00016092465912842437,0.0001609246576879186,3.436342257663375e-13,1.0767101444908791e-15
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,35,35000,3.0,2.0,4.0,9,35,0.0001704786419105246,0.0001704786404815051,3.3707391094341465e-13,9.544575577533283e-16
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,36,36000,3.0,2.0,4.0,9,35,0.00018030512277501895,0.00018030512135749934,3.305680520136919e-13,8.499503118769376e-16
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,37,37000,3.0,2.0,4.0,9,35,0.000190403854815969,0.00019040385340997627,3.2411591736512295e-13,7.616361114596011e-16
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,38,38000,3.0,2.0,4.0,9,35,0.00020077459130056708,0.00020077458990613975,3.17716903511679e-13,6.882123011027526e-16
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,39,39000,3.0,2.0,4.0,9,35,0.00021141708566902725,0.00021141708428621363,3.113703632989104e-13,6.281285432891535e-16
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,40,40000,3.0,2.0,4.0,9,35,0.00022233109153447397,0.00022233109016333094,3.050763679597545e-13,5.791318853020992e-16
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,41,41000,3.0,2.0,4.0,9,35,0.000233516362682829,0.00023351636132341988,2.988371459525267e-13,5.381907146708691e-16
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,42,42000,3.0,2.0,4.0,9,35,0.0002449726530727029,0.0002449726517250963,2.926586091713834e-13,5.020007603722353e-16
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,43,43000,3.0,2.0,4.0,9,35,0.0002566997168352837,0.0002566997154995516,2.865512838027541e-13,4.679433188713081e-16
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,44,44000,3.0,2.0,4.0,9,35,0.00026869730827421825,0.00026869730695043445,2.805301668759508e-13,4.3501352445822325e-16
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,45,45000,3.0,2.0,4.0,9,35,0.0002809651818655163,0.0002809651805537548,2.7461342986489115e-13,4.041237532729574e-16
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,46,46000,3.0,2.0,4.0,9,35,0.00029350309225742406,0.0002935030909577578,2.6882028784949e-13,3.7746829366223697e-16
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,47,47000,3.0,2.0,4.0,9,35,0.0003063107942703248,0.0003063107929828235,2.6316858019988237e-13,3.5719808578908565e-16
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,48,48000,3.0,2.0,4.0,9,35,0.00031938804289661956,0.00031938804162134904,2.5767263381448614e-13,3.4413603538021294e-16
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,49,49000,3.0,2.0,4.0,9,35,0.00033273459330062174,0.0003327345920376421,2.523418799755069e-13,3.3729124299782855e-16
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,0,0,3.0,2.0,4.0,9,41,3.114928797828652e-12,9.53772507631673e-13,7.508547535103216e-13,4.17349261639909e-13
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,1,1000,3.0,2.0,4.0,9,41,3.9134661309184364e-07,3.9134454983558217e-07,7.318981917955481e-13,3.3717068265327986e-13
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,2,2000,3.0,2.0,4.0,9,41,1.5634710304612652e-06,1.56346904570115e-06,7.137668270326544e-13,2.7586579532147243e-13
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,3,3000,3.0,2.0,4.0,9,41,3.5159079400468507e-06,3.5159060195990645e-06,6.964141430450618e-13,2.2824500394938484e-13
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,4,4000,3.0,2.0,4.0,9,41,6.248189135019849e-06,6.2481872683210676e-06,6.797959327820498e-13,1.9071714825387569e-13
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,5,5000,3.0,2.0,4.0,9,41,9.759846628084067e-06,9.759844807127128e-06,6.63870065817662e-13,1.6075401847289025e-13
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,6,6000,3.0,2.0,4.0,9,41,1.4050412651038044e-05,1.4050410869651877e-05,6.485962961491716e-13,1.3654587811395767e-13
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,7,7000,3.0,2.0,4.0,9,41,1.911941965445637e-05,1.9119417907810866e-05,6.339361385135396e-13,1.167764120014616e-13
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,8,8000,3.0,2.0,4.0,9,41,2.4966400307447083e-05,2.496639859170721e-05,6.198528403860255e-13,1.0047350646093929e-13
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,9,9000,3.0,2.0,4.0,9,41,3.159088749745762e-05,3.1590885809538155e-05,6.063114692802649e-13,8.690894381812451e-14
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,10,10000,3.0,2.0,4.0,9,41,3.899241433011183e-05,3.899241266750078e-05,5.932791148914953e-13,7.55301336773957e-14
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,11,11000,3.0,2.0,4.0,9,41,4.7170514129070233e-05,4.717051248969998e-05,5.807251694314848e-13,6.591310046600947e-14
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,12,12000,3.0,2.0,4.0,9,41,5.6124720435901935e-05,5.612471881805391e-05,5.686216004404296e-13,5.772967419422277e-14
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,13,13000,3.0,2.0,4.0,9,41,6.585456700996689e-05,6.585456541220012e-05,5.569430830081257e-13,5.07241362159669e-14
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,14,14000,3.0,2.0,4.0,9,41,7.635958782830722e-05,7.635958624940403e-05,5.456668392739112e-13,4.4696050856036784e-14
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,15,15000,3.0,2.0,4.0,9,41,8.763931708554027e-05,8.763931552446472e-05,5.347720735927617e-13,3.94870601145588e-14
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,16,16000,3.0,2.0,4.0,9,41,9.96932891937553e-05,9.969328764962074e-05,5.242390097192631e-13,3.4970280677662764e-14
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,17,17000,3.0,2.0,4.0,9,41,0.00011252103878241451,0.00011252103725445828,5.140477129648378e-13,3.1041726814154176e-14
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,18,18000,3.0,2.0,4.0,9,41,0.00012612210069825428,0.00012612209918581735,5.041770482603563e-13,2.7613838559891846e-14
