row_type,run,N,dealias_rule,window_start_index,window_end_index,fit_kmin,fit_kmax,peak_mask_kmin,peak_mask_kmax,k,region,full_mode_count,active_dealiased_mode_count,window_mean_shell_sum_E,window_mean_shell_mean_E_full_count,window_mean_shell_mean_E_active_count,shell_sum_slope_k9_41,shell_sum_r2_k9_41,shell_mean_full_count_slope_k9_41,shell_mean_full_count_r2_k9_41,shell_mean_active_count_slope_k9_41,shell_mean_active_count_r2_k9_41,full_mode_count_slope_k9_41,full_mode_count_r2_k9_41,active_mode_count_slope_k9_41,active_mode_count_r2_k9_41,per_snapshot_shell_sum_slope_mean,per_snapshot_shell_sum_slope_std,per_snapshot_shell_mean_full_count_slope_mean,per_snapshot_shell_mean_full_count_slope_std,full_count_min,full_count_median,full_count_max,full_count_mean,active_count_min,active_count_median,active_count_max,active_count_mean,n_shells,full_sparse_lt_16,full_sparse_lt_32,full_sparse_lt_64,active_sparse_lt_16,active_sparse_lt_32,active_sparse_lt_64
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,122,high_k_tail,768,0,3.5816018284977494e-40,4.663544047523111e-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,123,high_k_tail,792,0,1.6097411551484888e-40,2.0325014585208194e-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,124,high_k_tail,760,0,1.872314409661633e-40,2.4635715916600437e-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,125,high_k_tail,780,0,1.5136098768183672e-40,1.940525483100471e-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,126,high_k_tail,776,0,2.394954241412744e-39,3.0862812389339486e-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,127,high_k_tail,832,0,2.406310758267324e-40,2.8922004306097644e-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
region_summary_low_k_1_8,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,,low_k_1_8,,,,,,,,,,,,,,,,,,,,8,30.0,48,28.0,8,30.0,48,28.0,8,2,4,8,2,4,8
region_summary_fit_range_9_41,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,,fit_range_9_41,,,,,,,,,,,,,,,,,,,,56,160.0,264,157.33333333333334,56,160.0,264,157.33333333333334,33,0,0,1,0,0,1
region_summary_high_k_ge40,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,,high_k_ge40,,,,,,,,,,,,,,,,,,,,248,526.0,832,524.9545454545455,0,304.0,552,276.54545454545456,88,0,0,0,9,11,13
region_summary_high_tail_top_10pct,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,,high_tail_top_10pct,,,,,,,,,,,,,,,,,,,,724,768.0,832,762.7692307692307,0,0.0,68,13.846153846153847,13,0,0,0,9,11,12
fit_summary,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,,fit_range_9_41,,,,,,-3.0004034112696227,0.9668214210155479,-3.988225779851715,0.9820499063695587,-3.988225779851715,0.9820499063695587,0.9878223685820918,0.9758334308482464,0.9878223685820918,0.9758334308482464,-3.0035904443227346,0.052910110067137785,-3.9914128129048265,0.05291011006713807,56,160.0,264,157.33333333333334,56,160.0,264,157.33333333333334,33,0,0,1,0,0,1
