loop_index,completed_steps,physical_time,energy,enstrophy,forcing_rms,energy_injection_rate,enstrophy_injection_rate,viscous_energy_dissipation_rate,viscous_enstrophy_dissipation_rate,continuous_energy_rhs,continuous_enstrophy_rhs,stage1_advection_rms,stage2_advection_rms,mask_removal_rms,vorticity_rms,maximum_absolute_vorticity,forcing_sha256,forcing_identity_matches,interval_duration,observed_energy_rate,mean_continuous_energy_rhs,energy_budget_residual,mean_energy_injection_rate,mean_viscous_energy_dissipation_rate,normalized_energy_budget_residual,observed_enstrophy_rate,mean_continuous_enstrophy_rhs,enstrophy_budget_residual,mean_enstrophy_injection_rate,mean_viscous_enstrophy_dissipation_rate,normalized_enstrophy_budget_residual,stationarity_window_member,subwindow_id,residual_interval_fully_inside_window
17000,17001,85.005,0.003082116742354383,0.02372935670118284,0.005,4.757755920074647e-05,0.00042001572793166117,4.7458713402365684e-05,0.0006723568621926972,1.188457983807836e-07,-0.000252341134261036,0.017164076314848096,0.01716373439473912,5.4882351012363455e-06,0.21785020863512083,0.6637228136049024,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True,0.5,8.440658270589263e-07,4.141550119292398e-07,4.299108151296865e-07,4.7978453546326296e-05,4.756429853439705e-05,0.008960497543226979,-0.00021117026406274747,-0.00024956009265276693,3.838982859001946e-05,0.00042352916587373447,0.0006730892585265014,0.05703527147953728,True,1,True
17100,17101,85.505,0.003082241893518226,0.0236210658085618,0.005,4.682925346931286e-05,0.000413549383520627,4.7242131617123605e-05,0.0006705254209354683,-4.12878147810743e-07,-0.00025697603741484126,0.017139763003742155,0.017139390500916764,5.449432214770887e-06,0.21735255143918508,0.6566803774410461,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True,0.5,2.503023276857058e-07,-1.470161747149797e-07,3.9731850240068553e-07,4.7203406335029665e-05,4.7350422509744645e-05,0.008391023381447505,-0.0002165817852420801,-0.00025465858583793865,3.807680059585855e-05,0.0004167825557261441,0.0006714411415640828,0.05670906686945169,True,2,True
17200,17201,86.005,0.003082098038964718,0.023510504072173782,0.005,4.613529641400066e-05,0.00040764986981975724,4.7021008144347565e-05,0.0006683422007340721,-8.857117303469022e-07,-0.00026069233091431486,0.017112694474243968,0.017112304103279612,5.395292844354385e-06,0.2168432801457024,0.645202660912738,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True,0.5,-2.8770910701601815e-07,-6.492949390788226e-07,3.6158583206280444e-07,4.648227494165676e-05,4.7131569880735585e-05,0.007671839342032991,-0.00022112347277603722,-0.00025883418416457806,3.771071138854084e-05,0.00041059962667019213,0.0006694338108347702,0.05633224790590777,True,2,True
17300,17301,86.505,0.0030817130639136966,0.023398099988199625,0.005,4.549613982899666e-05,0.000402317804156381,4.6796199976399254e-05,0.000665824345988012,-1.300060147402593e-06,-0.000263506541831631,0.017084088345747133,0.0170836925420365,5.327596920098851e-06,0.21632429354189336,0.6392859254276217,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True,0.5,-7.699501020424701e-07,-1.0928859388747476e-06,3.229358368322775e-07,4.581571812149866e-05,4.690860406037341e-05,0.006884362545017223,-0.00022480816794831493,-0.0002620994363729729,3.7291268424657995e-05,0.0004049838369880691,0.0006670832733610421,0.0559019689352562,True,2,True
17400,17401,87.005,0.003081114719340955,0.023284272223493156,0.005,4.4911827874562365e-05,0.0003975481677186729,4.656854444698631e-05,0.0006629912503810225,-1.6567165724239486e-06,-0.0002654430826623496,0.017055129006602093,0.01705473967990723,5.2481428340338575e-06,0.21579746163239805,0.6397387871634916,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True,0.5,-1.19668914548305e-06,-1.4783883599132708e-06,2.8169921443022084e-07,4.520398385177951e-05,4.668237221169278e-05,0.006034380882633513,-0.00022765552941293732,-0.00026447481224699026,3.6819282834052946e-05,0.0003999329859375269,0.0006644077981845173,0.055416692782145234,True,2,True
17500,17501,87.505,0.003080330485134028,0.023169426331609712,0.005,4.4382010558250925e-05,0.0003933304765295334,4.6338852663219425e-05,0.0006598645024980176,-1.9568421049685e-06,-0.0002665340259684842,0.01702694307109474,0.01702657136810293,5.158743182713792e-06,0.2152646108007989,0.639941220382531,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True,0.5,-1.5684684138541141e-06,-1.8067793386962243e-06,2.3831092484211014e-07,4.4646919216406645e-05,4.6453698555102866e-05,0.005130074294502694,-0.0002296917837668888,-0.0002659885543154169,3.6296770548528094e-05,0.00039543932212410314,0.00066142787643952,0.05487638462399613,True,2,True
17600,17601,88.005,0.0030793874405190182,0.023053951648013438,0.005,4.3905964067253675e-05,0.0003896490755618226,4.6107903296026876e-05,0.0006564677815671646,-2.201939228773201e-06,-0.000266818706005342,0.017000576767404553,0.017000232845895448,5.061271762090024e-06,0.21472750940675225,0.6399034131305307,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True,0.5,-1.8860892300196289e-06,-2.0793906668708504e-06,1.9330143685122156e-07,4.41439873127523e-05,4.6223377979623154e-05,0.004181897673866143,-0.00023094936719254833,-0.0002666763659869131,3.572699879436479e-05,0.000391489776045678,0.0006581661420325912,0.05428264462834622,True,2,True
17700,17701,88.505,0.0030783121420674374,0.022938218426050774,0.005,4.34826172934785e-05,0.00038648354884962863,4.587643685210155e-05,0.0006528266860208969,-2.3938195586230493e-06,-0.00026634313717126826,0.016976974722379204,0.016976667542524096,4.957685303531045e-06,0.21418785411899888,0.6396331041627679,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True,0.5,-2.150596903161689e-06,-2.297879393698125e-06,1.472824905364362e-07,4.369429068036609e-05,4.599217007406421e-05,0.003202338361057057,-0.00023146644392532667,-0.0002665809215883051,3.511447766297844e-05,0.00038806631220572564,0.0006546472337940307,0.05363877803236297,True,2,True
17800,17801,89.005,0.0030771305092611896,0.02282257527903051,0.005,4.311058360258e-05,0.0003838092336483256,4.564515055806102e-05,0.0006489684849584421,-2.534566955481023e-06,-0.0002651592513101165,0.016956959721067175,0.016956696861849557,4.849946996949031e-06,0.2136472573146237,0.6391339795476177,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True,0.5,-2.3632656124955576e-06,-2.4641932570520363e-06,1.009276445564787e-07,4.329660044802925e-05,4.576079370508128e-05,0.0022055483829003537,-0.00023128629404052525,-0.0002657511942406924,3.446490020016712e-05,0.0003851463912489771,0.0006508975854896694,0.052949804959315096,True,2,True
17900,17901,89.505,0.0030758677173428855,0.022707346992481434,0.005,4.278819666570356e-05,0.00038159782257759,4.541469398496287e-05,0.0006449217924818662,-2.626497319259306e-06,-0.0002633239699042762,0.016941213760988453,0.01694100126981009,4.739835222994093e-06,0.21310723588128785,0.6384047944886072,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True,0.5,-2.5255838366081487e-06,-2.5805321373701645e-06,5.49483007620158e-08,4.294939013414178e-05,4.5529922271511945e-05,0.001206861290786717,-0.00023045657309815615,-0.00026424161060719634,3.378503750904019e-05,0.0003827035281129578,0.0006469451387201542,0.05222241498850556,True,2,True
